Holiday,2016,2017,2018
New Year's Day,01/01/2016,01/01/2017,01/01/2018
Martin Luther King Day,18/01/2016,16/01/2017,15/01/2018
President's Day,15/02/2016,20/02/2017,19/02/2018
Memorial Day,30/05/2016,29/05/2017,28/05/2018
Independence Day,04/07/2016,04/07/2017,04/07/2018
Labor Day,05/09/2016,04/09/2017,03/09/2018
Columbus Day,10/10/2016,09/10/2017,08/10/2018
Veterans Day,11/11/2016,10/11/2017,11/10/2018
Thanksgiving Day,24/11/2016,23/11/2017,22/11/2018
Black Friday,25/11/2016,24/11/2017,23/11/2018
Christmas Day,25/12/2016,25/12/2017,25/12/2018
